GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0005976	polysaccharide metabolic process	0.0270505379356086	0.439321691269394	2.01 (8/569; 17/2435)	ostta03g00870 ostta06g02940 ostta07g03070 ostta20g00490 ostta16g01010 ostta20g00830 ostta19g00480 ostta19g00500
GO:0018130	heterocycle biosynthetic process	0.0277006173142946	0.439321691269394	1.22 (72/569; 253/2435)	ostta03g04670 ostta04g02090 ostta02g02510 ostta06g03350 ostta18g00940 ostta01g03600 ostta01g03970 ostta01g05920 ostta11g00690 ostta09g01080 ostta01g06390 ostta07g01110 ostta20g00850 ostta12g01290 ostta16g00550 ostta07g01350 ostta04g03460 ostta02g01090 ostta04g00220 ostta02g04470 ostta17g00067 ostta20g00060 ostta16g01340 ostta06g00040 ostta15g01210 ostta01g05460 ostta13g00100 ostta09g00580 ostta10g01190 ostta13g01820 ostta06g03060 ostta12g01030 ostta01g05910 ostta12g00240 ostta10g00580 ostta06g00880 ostta02g01590 ostta10g02610 ostta16g01270 ostta06g02590 ostta01g03380 ostta05g01370 ostta18g01860 ostta04g00750 ostta07g04320 ostta07g00060 ostta09g02160 ostta07g00490 ostta10g00430 ostta13g02040 ostta16g01450 ostta08g01730 ostta01g03880 ostta04g03030 ostta05g01030 ostta14g00340 ostta07g00720 ostta05g01970 ostta09g02190 ostta06g00520 ostta02g02380 ostta15g02810 ostta06g02270 ostta02g00810 ostta01g03770 ostta02g00940 ostta06g02360 ostta17g01800 ostta04g03560 ostta01g01160 ostta08g00865 ostta09g01790
GO:0016053	organic acid biosynthetic process	0.0289131896211935	0.439321691269394	1.36 (33/569; 104/2435)	ostta03g04670 ostta05g01710 ostta18g00940 ostta18g01010 ostta07g02250 ostta01g05920 ostta16g02560 ostta07g01110 ostta12g02970 ostta12g03060 ostta02g03640 ostta05g01350 ostta16g00550 ostta01g02220 ostta15g01140 ostta09g03060 ostta15g01210 ostta03g04010 ostta13g00100 ostta01g06660 ostta02g01980 ostta10g00580 ostta11g02320 ostta10g02610 ostta05g01820 ostta05g04420 ostta07g00060 ostta04g03030 ostta03g02820 ostta15g02810 ostta06g02270 ostta07g03550 ostta09g01790
GO:0046394	carboxylic acid biosynthetic process	0.0289131896211935	0.439321691269394	1.36 (33/569; 104/2435)	ostta03g04670 ostta05g01710 ostta18g00940 ostta18g01010 ostta07g02250 ostta01g05920 ostta16g02560 ostta07g01110 ostta12g02970 ostta12g03060 ostta02g03640 ostta05g01350 ostta16g00550 ostta01g02220 ostta15g01140 ostta09g03060 ostta15g01210 ostta03g04010 ostta13g00100 ostta01g06660 ostta02g01980 ostta10g00580 ostta11g02320 ostta10g02610 ostta05g01820 ostta05g04420 ostta07g00060 ostta04g03030 ostta03g02820 ostta15g02810 ostta06g02270 ostta07g03550 ostta09g01790
GO:1901607	alpha-amino acid biosynthetic process	0.0315281018354268	0.459093412691302	1.55 (17/569; 47/2435)	ostta03g04670 ostta05g01710 ostta18g01010 ostta07g02250 ostta01g05920 ostta16g02560 ostta07g01110 ostta12g02970 ostta12g03060 ostta13g00100 ostta02g01980 ostta11g02320 ostta10g02610 ostta07g00060 ostta03g02820 ostta15g02810 ostta07g03550
GO:1901605	alpha-amino acid metabolic process	0.0340287141333623	0.461430742685686	1.45 (22/569; 65/2435)	ostta03g04670 ostta10g03200 ostta05g01710 ostta03g00920 ostta18g01010 ostta07g02250 ostta14g02420 ostta01g05920 ostta16g02560 ostta07g01110 ostta12g02970 ostta12g03060 ostta14g03050 ostta13g00100 ostta02g01980 ostta15g02900 ostta11g02320 ostta10g02610 ostta07g00060 ostta03g02820 ostta15g02810 ostta07g03550
GO:0044272	sulfur compound biosynthetic process	0.0372344104206002	0.461430742685686	1.83 (9/569; 21/2435)	ostta03g04670 ostta07g02250 ostta12g03060 ostta06g01430 ostta10g00580 ostta11g02320 ostta16g01270 ostta04g03030 ostta07g03550
GO:0008652	cellular amino acid biosynthetic process	0.0375598364558945	0.461430742685686	1.45 (21/569; 62/2435)	ostta03g04670 ostta05g01710 ostta18g01010 ostta07g02250 ostta01g05920 ostta16g02560 ostta07g01110 ostta12g02970 ostta12g03060 ostta02g03640 ostta05g01350 ostta13g00100 ostta02g01980 ostta11g02320 ostta10g02610 ostta05g01820 ostta05g04420 ostta07g00060 ostta03g02820 ostta15g02810 ostta07g03550
GO:0009069	serine family amino acid metabolic process	0.0389988094413029	0.461430742685686	1.9 (8/569; 18/2435)	ostta10g03200 ostta03g00920 ostta14g02420 ostta01g05920 ostta12g03060 ostta15g02900 ostta11g02320 ostta07g03550
GO:0034645	cellular macromolecule biosynthetic process	0.0390285144713399	0.461430742685686	1.16 (105/569; 389/2435)	ostta03g00870 ostta06g02940 ostta07g04530 ostta01g04340 ostta07g03070 ostta01g00090 ostta06g03350 ostta20g00490 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta04g00090 ostta08g03770 ostta05g04800 ostta01g01460 ostta14g01840 ostta02g02570 ostta01g03970 ostta02g01790 ostta15g00620 ostta03g05145 ostta02g04680 ostta05g02300 ostta15g01090 ostta20g00850 ostta05g02820 ostta06g00460 ostta06g01790 ostta17g01610 ostta08g03610 ostta02g04120 ostta04g03460 ostta02g01090 ostta16g01010 ostta04g00220 ostta01g03190 ostta07g04000 ostta18g01440 ostta14g01850 ostta15g00930 ostta17g00067 ostta20g00060 ostta17g01760 ostta16g01340 ostta03g03015 ostta04g04640 ostta15g02200 ostta01g05460 ostta10g00640 ostta14g01080 ostta01g00970 ostta02g04990 ostta06g01030 ostta11g00910 ostta10g01190 ostta16g01720 ostta20g00830 ostta17g02240 ostta13g01820 ostta07g01760 ostta06g03060 ostta16g00070 ostta02g01590 ostta04g04870 ostta11g02730 ostta19g00480 ostta06g02590 ostta19g00500 ostta02g00250 ostta01g03380 ostta05g01370 ostta14g02660 ostta02g01010 ostta07g04320 ostta18g00630 ostta09g02160 ostta07g00490 ostta03g01020 ostta10g00430 ostta13g02040 ostta08g01730 ostta01g02580 ostta03g05880 ostta04g00450 ostta01g03880 ostta04g02970 ostta07g00720 ostta09g02190 ostta11g01400 ostta07g00050 ostta05g03820 ostta08g02010 ostta11g02020 ostta02g00950 ostta02g04390 ostta06g02360 ostta12g02485 ostta12g00110 ostta05g00150 ostta02g00555 ostta07g04450 ostta04g03560 ostta08g00865
GO:0035556	intracellular signal transduction	0.03961077158597	0.461430742685686	1.66 (12/569; 31/2435)	ostta17g00330 ostta10g03070 ostta07g00770 ostta16g01340 ostta13g01820 ostta08g02570 ostta09g03950 ostta08g01730 ostta09g02190 ostta10g01110 ostta04g04260 ostta04g01810
GO:0009059	macromolecule biosynthetic process	0.0445062049920167	0.501733788025451	1.15 (106/569; 395/2435)	ostta03g00870 ostta06g02940 ostta07g04530 ostta01g04340 ostta07g03070 ostta01g00090 ostta06g03350 ostta20g00490 ostta06g02530 ostta04g04740 ostta11g02560 ostta03g02860 ostta08g01740 ostta04g00090 ostta08g03770 ostta05g04800 ostta01g01460 ostta14g01840 ostta02g02570 ostta01g03970 ostta02g01790 ostta15g00620 ostta03g05145 ostta02g04680 ostta05g02300 ostta15g01090 ostta20g00850 ostta05g02820 ostta06g00460 ostta06g01790 ostta17g00030 ostta17g01610 ostta08g03610 ostta02g04120 ostta04g03460 ostta02g01090 ostta16g01010 ostta04g00220 ostta01g03190 ostta07g04000 ostta18g01440 ostta14g01850 ostta15g00930 ostta17g00067 ostta20g00060 ostta17g01760 ostta16g01340 ostta03g03015 ostta04g04640 ostta15g02200 ostta01g05460 ostta10g00640 ostta14g01080 ostta01g00970 ostta02g04990 ostta06g01030 ostta11g00910 ostta10g01190 ostta16g01720 ostta20g00830 ostta17g02240 ostta13g01820 ostta07g01760 ostta06g03060 ostta16g00070 ostta02g01590 ostta04g04870 ostta11g02730 ostta19g00480 ostta06g02590 ostta19g00500 ostta02g00250 ostta01g03380 ostta05g01370 ostta14g02660 ostta02g01010 ostta07g04320 ostta18g00630 ostta09g02160 ostta07g00490 ostta03g01020 ostta10g00430 ostta13g02040 ostta08g01730 ostta01g02580 ostta03g05880 ostta04g00450 ostta01g03880 ostta04g02970 ostta07g00720 ostta09g02190 ostta11g01400 ostta07g00050 ostta05g03820 ostta08g02010 ostta11g02020 ostta02g00950 ostta02g04390 ostta06g02360 ostta12g02485 ostta12g00110 ostta05g00150 ostta02g00555 ostta07g04450 ostta04g03560 ostta08g00865
GO:0044271	cellular nitrogen compound biosynthetic process	0.0469735952986021	0.513001106550522	1.13 (123/569; 465/2435)	ostta03g04670 ostta04g02090 ostta07g04530 ostta01g04340 ostta02g02510 ostta05g01710 ostta06g03350 ostta06g02530 ostta04g04740 ostta11g02560 ostta18g00940 ostta03g02860 ostta08g01740 ostta04g00090 ostta01g03600 ostta08g03770 ostta05g04800 ostta01g01460 ostta14g01840 ostta02g02570 ostta01g03970 ostta02g01790 ostta01g05920 ostta15g00620 ostta11g00690 ostta09g01080 ostta01g06390 ostta04g03960 ostta03g05145 ostta07g01110 ostta02g04680 ostta05g02300 ostta20g00850 ostta12g01290 ostta06g00460 ostta06g01790 ostta17g00030 ostta16g00550 ostta07g01350 ostta08g03610 ostta02g04120 ostta06g01430 ostta04g03460 ostta02g01090 ostta04g00220 ostta02g04470 ostta01g03190 ostta07g04000 ostta14g01850 ostta15g00930 ostta17g00067 ostta20g00060 ostta17g01760 ostta16g01340 ostta03g03015 ostta15g02200 ostta15g01210 ostta01g05460 ostta14g01080 ostta01g00970 ostta02g04990 ostta06g01030 ostta09g00580 ostta10g01190 ostta16g01720 ostta17g02240 ostta13g01820 ostta07g01760 ostta06g03060 ostta12g01030 ostta01g05910 ostta12g00240 ostta16g00070 ostta10g00580 ostta06g00880 ostta02g01590 ostta04g04870 ostta11g02730 ostta16g01270 ostta06g02590 ostta02g00250 ostta01g03380 ostta05g01370 ostta14g02660 ostta18g01860 ostta04g00750 ostta02g01010 ostta07g04320 ostta18g00630 ostta09g02160 ostta07g00490 ostta03g01020 ostta10g00430 ostta13g02040 ostta16g01450 ostta08g01730 ostta03g05880 ostta01g03880 ostta04g02970 ostta05g01030 ostta14g00340 ostta07g00720 ostta05g01970 ostta09g02190 ostta07g00050 ostta05g03820 ostta08g02010 ostta06g00520 ostta02g02380 ostta11g02020 ostta06g02270 ostta02g00810 ostta01g03770 ostta02g00940 ostta02g00950 ostta02g04390 ostta06g02360 ostta17g01800 ostta07g04450 ostta04g03560 ostta01g01160 ostta08g00865 ostta09g01790
