pVal	phase	peak.shape	period
uriolide	0.000325492840624201	24	12	24
neoxanthin	0.000164594396979786	4	12	24
prasinoxanthin	1.48088482481143e-06	24	12	24
violaxanthin	5.44214354594371e-09	4	8	24
micromonal	0.0203542660055746	4	12	24
antheraxanthin	7.69598366714196e-08	12	16	24
zeaxanthin	8.75072129083401e-06	16	12	24
dihydrolutein	0.0427538123994068	8	8	24
a-carotene	0.00498472118129681	20	20	24
b-carotene	0.00110306460316227	16	12	24
lutein	0.154329140024159	16	8	24
