PSI,PsaL,ostta02g00580,
PSI,PsaE,ostta02g03860,
PSI,PsaF,ostta04g01790,
PSI,PsaG/PsaK,ostta05g00800,
PSI,PsaN,ostta06g00250,
PSI,PsaH,ostta15g00990,
PSI,PsaG/PsaK,ostta17g00570,
PSI,PsaD,ostta15g02670,
PSII,PsbR,ostta05g04560,*
PSII,PsbW,ostta02g02320,
PSII,PsbL,ostta07g02410,
PSII,cytochrome b559,ostta07g02420,*
PSII,PsbM,ostta12g00420,
PSII,PsbO,ostta14g00150,
PSII,Psb28,ostta16g00650,
PSII,PsbQ,ostta16g01620,
PSII,PsbP1,ostta14g02630,
PSII,PSBY,ostta12g00520,
PSII,PSBX,ostta02g02560,
PSII,LTO1,ostta10g00200,semi ok
PSII,REP27,ostta11g02260,ok
PSII,RBD1,ostta07g04470,ok
LHCII,LHCBM,ostta14g00065,*
LHCII,ALB3,ostta03g02230,
LHCII,LHCB4,ostta16g02310,
LHCII,LHC14,ostta06g04600,
LHCII,LHC15,ostta11g00990,
O,glyceraldehyde 3-phosphate dehydrogenase,ostta01g01560,
O,"fructose-1,6-biphosphatase",ostta03g00350,
O,chlorophyll a/b binding protein domain,ostta06g04600,
O,cytochrome b6f complex,ostta07g00640,
O,ATPase F1 complex,ostta07g01350,
O,ATPase F1 complex,ostta09g01080,
O,cytochrome c-like domain,ostta17g01035,
O,Ferredoxin-Nadp reductase,ostta18g01250,
STT/CEF,STN7,ostta10g01610,
STT/CEF,STN8,ostta06g00790,
STT/CEF,PPH1,ostta02g02330,
STT/CEF,PGR5,ostta13g00960,
STT/CEF,PGRL1,ostta11g00330,
