ProtID	zt0_1	zt0_2	zt0_3	zt0_4	zt0_5	zt0_6	zt0_7	zt0_8	zt0_9	zt4_1	zt4_2	zt4_3	zt4_4	zt4_5	zt4_6	zt4_7	zt4_8	zt4_9	zt8_1	zt8_2	zt8_3	zt8_4	zt8_5	zt8_6	zt8_7	zt8_8	zt8_9	zt12_1	zt12_2	zt12_3	zt12_4	zt12_5	zt12_6	zt12_7	zt12_8	zt12_9	zt16_1	zt16_2	zt16_3	zt16_4	zt16_5	zt16_6	zt16_7	zt16_8	zt16_9	zt20_1	zt20_2	zt20_3	zt20_4	zt20_5	zt20_6	zt20_7	zt20_8	zt20_9
ostta05g02426	21.1202020578753	21.1347346904572	21.1147438508377	21.4338060897195	21.3544361810319	21.3604963373488	20.9798598292768	21.0057548672246	20.9660185817972	21.1552086776906	21.213884715017	21.1124970008476	21.0151599508952	21.0289457317852	21.07487020663	21.1908779201997	21.2538978341832	21.1166104279843	21.2157803099344	21.2450399199568	21.281085930786	21.2557041119116	21.1641273294649	21.2236743322043	20.6985196590085	20.7607390145138	20.8287827392576	21.4262197922547	21.4043304180173	21.5031842629233	21.1171488190987	21.1472057047367	21.2091823607737	20.789889931362	20.7472518414635	20.8967051603504	21.1122136323407	21.0530657456652	21.0166140716253	21.4301895256934	21.4613635483353	21.4609002567723	20.9745286934983	20.959703045872	20.8607272750011	21.1735675634981	21.0584316256987	21.1411594745699	21.3278536475249	21.3014460123109	21.395100926938	21.1800744862284	20.9965879216406	20.9995543713263
ostta01g03280	23.20031330164	23.2384209027388	23.2357164527215	23.5311100876421	23.5324503468331	23.4981479848324	23.1452730149336	23.1748989107817	23.1105080550335	23.3371384304674	23.345934722918	23.2897401731234	23.2783772804104	23.2888792561125	23.2542853925485	23.4940959726019	23.4711759040125	23.4757541182343	23.3233014866065	23.3769669365403	23.3655172903787	23.3372838422391	23.4775983075749	23.46195007615	23.20673921426	23.2327988391566	23.2319190948262	22.8185858860964	22.6690723561631	22.8022377005958	22.8031503326841	22.8049017555014	22.8180883378316	22.9115051399295	22.910132623256	23.0243654644518	22.860479463456	22.7987332549213	22.7753344511153	23.0449225091565	23.0448442514152	23.0630009373494	22.973357022718	22.964222769607	22.8809688280246	22.918374271981	22.8900364052813	22.913567383949	22.8580911632056	22.8426440809335	22.8433236733437	23.0136839411458	23.0182719592868	23.0482980720618
ostta03g04670	23.0657560872466	23.0741296779242	23.0608951595764	23.3929357874398	23.3764720946167	23.3888951211403	22.4505120196272	22.455876713226	22.3751911626678	23.2174327130985	23.1258741091144	23.173640613266	23.1171246037399	23.1224908573588	23.0808832427023	23.3885418037398	23.3637320275242	23.3108362572774	23.16703641033	23.1902198196234	23.1588076562663	23.2739888840277	23.2826462188075	23.3012957482687	22.5828294131307	22.6406315172068	22.6620918619968	23.2128847276911	23.1950129461491	23.1878761801584	23.1973210180657	23.1955057283449	23.2004210669672	22.4761094755438	22.4956953050713	22.4887819420569	23.1766624716932	23.1229958304727	23.1002153002724	23.3569598481675	23.3579430489434	23.3673774540973	22.4167692184893	22.4018851580926	22.3704803761071	23.2573167099224	23.2628919289124	23.2359715137812	23.3413502988685	23.3179750088213	23.3495310153754	23.3711791340923	23.3907384947624	23.3778984774407
ostta01g01830	21.5414791017531	21.5309559282333	21.5407058681338	21.6053445736044	21.4902020735589	21.5729436786179	21.0207051477373	21.1465169018223	21.1287270328645	21.5052329725612	21.5242996325185	21.4352877581834	21.678239641698	21.6778381000984	21.6206586193271	21.5216564635843	21.6299263196796	21.5810889295682	21.4938222754733	21.5913974498415	21.5321132302799	21.5157112565394	21.6708327155184	21.683150324473	20.954305579693	20.9338606169313	20.9155139180505	21.6037865276903	21.5816010070177	21.5131858710076	21.6322496577684	21.5953196151775	21.5792243546008	21.1873084406155	21.2197788512671	21.0589099616473	21.7035837147893	21.7225484724147	21.715967388297	21.8908085086358	21.7998765741905	21.8472305935219	21.0514796064888	21.1273963232703	21.161218385715	21.7333590529511	21.7709034987048	21.7914513926592	21.6652383237272	21.7050784277455	21.6594543657747	21.6659733071828	21.6314532794231	21.5961562751
ostta03g02810	20.0439015359176	20.0376251725917	20.0256221275643	20.1044876353013	20.0811339346844	20.068603715362	18.7868642780325	18.8621490010401	18.6438430784354	19.6764415019112	19.4232942708468	19.6980263273481	20.0288009544541	19.8475977221853	19.8672394440414	19.8595972489255	19.9210916127619	19.9407415884306	20.0038675555865	20.0813110709253	20.1611790742315	19.6488588080456	19.608522199102	19.7181960160074	19.2111659328982	19.4144767773165	19.3675437577674	19.5216098993112	19.5924158277435	19.674606165936	18.8949649429469	18.6843829981563	18.8767271461953	19.2521677167085	19.2391501832964	19.3338059125108	19.8057260645608	19.6062774597182	19.487636029847	19.6130009791937	19.7002613254836	19.7505887297986	19.4193984812719	19.6925251992857	19.3919388466788	19.7853848817832	19.8707844372685	19.7589794478288	18.8318779564948	18.5400366137159	18.6960283224081	19.5905122807798	19.692649632902	19.6543174752238
ostta14g01900	23.0028263757297	22.9871999269135	23.0052896394847	23.5105859094421	23.5033663300548	23.5627175173402	23.2563303623403	23.2691316192995	23.2229084531619	23.1490507259119	23.1157585302332	23.1471951587598	23.0971445568343	23.0915897146982	23.1898031755891	23.0799699580578	23.0810347614821	23.1969596403753	23.1242892895886	23.0654209688062	23.1152311766159	23.1100267521864	23.0894671979297	23.1414384228473	23.2880695446594	23.3192880230946	23.3218299342816	23.2672799533982	23.2668101715045	23.3158051473643	23.138336864929	23.2061656588811	23.160212661324	23.2701153921361	23.2693153005476	23.331514282874	23.1660722762009	23.1161514992643	23.0807060897205	23.393187027464	23.4165856580737	23.4205217080423	23.2505866989131	23.2023453491135	23.179322143654	23.2186942435032	23.1677239689756	23.2298412765271	23.4115424903362	23.3982044709952	23.4307798465845	23.574913328638	23.5659576658557	23.5775090727149
ostta04g02090	22.0565274620144	22.047445648972	22.0303142871053	22.3802336258515	22.3748598791379	22.3527738682599	21.692552773667	21.737962297549	21.7417997720333	22.459932516896	22.4733093071998	22.5006510814321	22.5263917007086	22.5479461680011	22.5361435164575	22.6326114118819	22.5750936273308	22.6839253128088	22.5772828955271	22.5949699755059	22.6117857735264	22.7132285616008	22.7420355913216	22.7602109235499	23.2359561390373	23.1878773963399	23.1919496696321	22.2207991179781	22.2223684066373	22.2365743666919	22.2622149006408	22.2745964570399	22.2437904435056	23.0734393875989	23.0524167820682	23.1747594923254	22.1602448619335	22.300093410834	22.2102021691548	22.4499550004553	22.4245932220875	22.4543946619997	22.6407873186233	22.5951372017574	22.5478096290905	22.4602070442993	22.4249905375738	22.453681708413	22.4334948459099	22.4532167923909	22.4307348690095	22.4502955188488	22.4798952708195	22.4452247186669
ostta12g02840	20.4210993368492	20.1886524408269	20.4294998365944	20.9284643744779	20.9407989503141	20.9503346919144	19.4842802837143	19.7775556928567	19.6888495240218	20.0628015757264	20.1380588709676	20.1511895520787	20.4901197014178	20.4939271579392	20.5305057351493	20.2297486373829	20.2704413842739	20.3794304713322	20.2644076637715	20.237502778166	20.2627328250576	20.4095023830821	20.5059486289478	20.3325886325429	19.9990658634048	20.1615654153032	20.1810621424126	20.2326390005188	19.9808621074806	20.2756298527095	19.7961359315768	20.0462465107262	20.1762500495094	18.8019018147216	18.8508585665173	18.8925439344542	20.231650600929	20.3289068999181	20.1648512879704	20.1771790580107	20.0256002765223	20.1712113349293	19.3815559930966	19.3675639212971	19.3364474580142	20.4846483688109	20.409129974785	20.4689457915644	20.4012696893417	20.4062497013057	20.3368935424718	20.2857067788055	20.2838224933026	20.2521322278649
ostta10g02060	19.7441599104119	19.4966124339456	19.8282330646684	20.2532539133361	20.2959314912526	20.3716108423572	19.6466148771659	19.7803201616609	19.1665238414733	19.7540242436734	19.8235042641193	19.738429773845	19.7407105631813	19.8553681946828	19.7813552443922	19.7280390492787	20.0529798126211	19.8898130846334	19.8297245367472	20.0240166909729	19.8934853221034	19.9289385259393	19.6980558716708	19.9061950719299	19.4092238954762	19.3212052381822	18.8952877121591	19.4362686459861	19.4220366060878	19.4509087115275	19.1587988397831	19.0789615895029	19.311758960979	18.9991617739261	18.954296165881	18.636489144446	19.9331329131936	19.7475387435064	19.8913085849177	19.6208536199597	19.4970184185148	19.6856148358214	19.0200075219892	19.2234436378135	19.1533224992828	20.0337335403443	19.5572200475275	19.7407822027179	19.8433741664873	19.6292234501195	20.0428086649742	19.8515451743344	20.0502202845062	19.7849988287015
ostta11g00180	21.4277578661971	21.4338952900687	21.2452514789094	21.3405881086028	21.3551670431227	21.287979721535	19.3928985357624	19.4227616184091	19.4998214507998	21.4644453482914	21.4566382901007	21.4021127088826	21.0672166672114	21.077389256655	21.056483967446	21.3452106239515	21.3465315670721	21.2974625803681	21.6341043363681	21.3832114699858	21.3447138370607	21.4528265079472	21.4041455838159	21.4392527417481	20.0024595009091	20.0979076203881	20.1175311303365	21.6790672507662	21.4184502894895	21.5115470333362	21.5089520163236	21.4761815198839	21.3365330827719	20.0354102671281	20.0732070034262	20.1401604076918	21.419073246569	21.2783841009182	21.2886648098464	21.6777505159789	21.6982312675365	21.6842468373247	20.4842396934154	20.5300241309746	20.6475955209867	21.3906226559836	21.3749841157146	21.2144931532163	21.4130648371544	21.544305576436	21.5836644963618	21.641437918312	21.6968322493299	21.7377508619679
