ZT0_1	ZT0_2	ZT0_3	ZT3_1	ZT3_2	ZT3_3	ZT6_1	ZT6_2	ZT6_3	ZT9_1	ZT9_2	ZT9_3	ZT12_1	ZT12_2	ZT12_3	ZT15_1	ZT15_2	ZT15_3	ZT18_1	ZT18_2	ZT18_3	ZT21_1	ZT21_2	ZT21_3
ostta01g00250	8.028872	7.908788	7.997302	7.579366	7.649322	7.525063	6.689958	6.571282	6.886611	6.879674	6.723547	7.198338	6.930636	6.84144	6.763947	7.513431	7.965813	7.958586	7.851191	8.153296	8.330926	7.707109	8.017072	8.043327
ostta01g00260	7.672016	7.964315	7.415595	7.536967	7.88288	7.113089	7.715092	7.709462	8.422208	7.308952	7.66009	8.317718	7.454892	7.730161	7.661353	7.2742	7.445514	7.296384	8.002303	7.231119	7.057892	8.258151	7.627853	7.531883
ostta01g00270	6.205287696	6.074347672	5.968184544	7.896556004	7.785667375	7.487269389	7.832981168	8.423855606	7.973934124	7.250857882	7.757111625	7.741785063	7.821398396	8.500145326	8.941793549	7.504871844	7.57089682	7.59530259	6.596981698	6.191815533	6.365645992	6.872620426	6.179347561	6.258677161
ostta01g00280	8.089931	8.189375	8.330553	7.169892	6.893639	7.058252	5.952929	5.350291	5.525964	5.946478	5.778183	6.000722	6.686653	6.323927	6.286547	7.075779	7.645749	7.677769	7.873827	8.097209	8.324535	7.96814	8.162766	8.398071
ostta01g00300	6.731832905	6.519813234	6.707433724	6.934702214	6.714177797	7.099776368	7.621097082	7.678536704	7.674473511	7.616707124	7.874790617	8.119661025	7.253579245	7.265883157	7.196425156	7.559680935	7.95878924	7.969159957	8.000657223	8.369613578	8.203171875	8.124964957	8.29571451	8.501345212
ostta01g00320	7.750229	7.365766	7.45654	7.850895	7.547286	7.66785	7.362826	7.210295	7.330481	7.172487	7.050147	7.200996	7.15899	7.187071	6.98198	7.566433	7.542668	7.42438	8.017392	7.953525	7.888751	8.059251	8.221397	8.257408
ostta01g00330	5.721418	4.658422	4.57779	8.134181	8.002651	7.923896	8.433632	8.684574	8.711154	8.058439	8.250028	8.299166	7.779182	8.024212	8.222234	6.551255	6.201336	6.274159	4.927045	4.704514	4.663289	5.796522	4.248394	4.27646
ostta01g00340	6.716774	6.836989	6.230929	6.205516	6.253246	6.017982	7.239228	7.117109	7.31523	8.024118	8.034657	8.220833	8.039828	8.296748	8.113874	8.20091	8.241795	8.33802	8.038981	7.905776	7.970208	7.558158	7.300766	7.519766
ostta01g00350	4.32277	4.604871	3.861995	6.903805	6.109537	5.889731	8.074441	8.281584	8.243011	8.588958	8.53904	8.380151	8.328234	8.334414	8.586204	7.010959	5.879909	6.021006	4.159182	4.193064	3.525177	3.885855	4.251529	4.185268
ostta01g00360	7.109035	7.38873	7.52957	4.956746	5.059599	5.729466	5.651082	5.546582	5.359828	5.634245	5.528591	5.403931	5.600744	5.781901	5.566621	7.216224	7.757805	7.648088	8.188963	8.712368	8.726919	7.928813	8.968697	8.924067
