gene ZT00_0 ZT00_1 ZT03_0 ZT03_1 ZT06_0 ZT06_1 ZT09_0 ZT09_1 ZT12_0 ZT12_1 ZT15_0 ZT15_1 ZT18_0 ZT18_1 ZT21_0 ZT21_1
Cre01.g002700 0.663188 0.93358 3.54696 3.90201 4.00185 4.28898 4.83827 4.88928 6.85188 8.85411 6.23113 5.47498 3.98267 4.94354 4.44326 3.40023
Cre01.g002750 0 0.163764 0.481177 0.473794 0.456348 0.616269 0.673773 0.757882 1.58905 0.706654 1.86679 1.41306 1.68876 1.14885 1.45286 1.31719
Cre01.g002787 0.0422364 0.0285275 0.0906886 0.152952 0.0818782 0.113511 0.263244 0.460454 0.411795 0.846514 0.283525 0.483336 0.211546 0.27077 0.239201 0.299812
Cre01.g003000 0.153817 0.329636 0.696299 0.405116 0.549615 0.473745 1.65049 2.11107 3.60301 3.48755 2.31876 2.1713 1.46503 1.62295 1.26212 1.30211
Cre01.g003100 0.482477 0.202689 0 0.109315 0.150029 0.0795815 0.152232 0.12459 0.18844 0.252535 0.194751 0.130661 0.0372091 0.0452374 0.0992634 0.032287
Cre01.g003200 0.176709 0.333862 5.37478 3.39358 5.64159 6.73919 2.92562 3.73488 2.67562 3.007 6.21348 4.70162 10.7293 9.48744 10.2913 11.0707
Cre01.g003250 0 0.048151 0 0 0 0 0 0 0.0804125 0.106874 0 0.0776835 0.0423907 0.0268631 0 0.0367262
Cre01.g003300 0 0 0 0 0 0 0 0 0 0.0206006 0 0 0 0 0 0
Cre01.g003450 10.9255 12.2467 8.2772 8.67201 7.51357 9.31271 7.35498 7.37187 5.2507 6.5585 5.77114 5.95402 7.5563 8.32299 7.57996 6.82769
Cre01.g003463 1.22751 2.44968 3.17158 3.16746 5.17176 4.04483 39.5072 33.6698 33.7386 42.3788 12.3433 17.7974 5.77041 6.83571 4.27314 5.0699
Cre01.g003500 0.0394415 0.0699005 1.52491 2.11922 2.29347 2.51572 3.57977 3.63469 3.0276 7.29809 1.84793 2.23136 2.42339 3.14989 3.84891 3.41884
Cre01.g003508 1.73764 4.30667 2.93946 3.96254 2.70969 3.45323 1.79814 2.57052 2.81616 4.88508 3.88409 5.36328 12.5939 14.1143 22.0377 25.4981
Cre01.g003516 11.0097 12.8024 11.669 12.111 11.8604 10.4865 6.36969 7.05587 8.37075 7.70336 14.0623 14.6098 44.1983 46.3422 69.6486 76.8237
Cre01.g003532 0.468005 0.978687 1.32787 1.52573 1.33937 1.27225 1.23457 1.1126 1.70991 2.01013 1.42507 1.86965 2.45597 2.84624 3.09928 3.1235
Cre01.g003541 0 0 0 0.057722 0.0379192 0.0402309 0.0535689 0 0 0 0.0656288 0.0172467 0.0376287 0.0238762 0.0415695 0
Cre01.g003600 1.3637 1.93773 4.72546 4.07276 3.37741 2.72531 0.190337 0.448605 1.22895 0.83614 0.350609 0.584629 0.0673158 0.0847433 0 0.0578773
Cre01.g003700 0.543064 0.668323 0.747303 1.4017 2.02341 1.9568 2.68088 2.47411 2.3398 4.22487 1.34511 2.23566 1.16899 1.50247 1.61945 1.42668
Cre01.g003751 2.59156 3.40494 3.19943 3.65493 2.78868 2.80181 1.0852 1.42773 0.611529 0.750508 0.617556 0.607438 0.985277 1.33223 2.17247 1.80964
Cre01.g003850 0.115377 0.11652 15.5008 12.8372 51.8416 44.1033 22.3128 27.7491 6.70506 7.3232 2.6774 2.50758 2.27281 1.46315 1.28791 0.934078
Cre01.g004050 0 0.0438115 0 0.0893553 0.389879 0 0.0548777 0.388344 0.0489023 0.115287 0 0.248774 0.233472 0.146543 0.127554 0.533587
Cre01.g004124 0.39332 0.213403 0.193146 0.413503 0.880017 0.861841 1.72724 1.99135 2.40227 3.29906 1.20426 1.309 0.886192 1.06985 0.94072 0.949825
Cre01.g004157 0 0 0.175058 0.191071 1.16313 0.800625 1.89347 1.93252 3.17019 3.91539 1.09705 1.45459 0.943547 0.921649 0.792834 0.833558
Cre01.g004250 2.19303 5.19855 28.0469 29.393 24.4968 23.1249 28.934 22.8396 170.839 99.0355 108.033 95.8668 57.4372 64.0362 46.2866 46.7671
Cre01.g004350 37.4805 8.77518 8.89138 9.67025 11.9155 11.3946 12.4678 13.5067 7.83914 12.143 6.72034 6.80292 7.56935 7.03825 8.33942 8.02752
Cre01.g004400 2.69823 4.54636 2.10748 3.42892 0.9616 1.02129 8.17584 6.78434 78.845 59.3396 23.0116 38.9373 15.2004 17.7657 14.022 9.38721
Cre01.g004500 1516.09 1374.14 620.605 598.273 409.945 401.993 137.893 175.009 73.0706 68.9259 112.199 112.621 132.447 135.491 138.1 154.697
Cre01.g004550 0.741603 1.27893 4.67325 5.19342 4.77772 5.62506 4.4153 4.47068 10.3915 11.5455 8.0345 9.55227 9.49593 11.6802 10.5113 10.812
Cre01.g004600 1.91529 1.00737 1.30774 1.29219 2.20419 2.00298 3.90587 3.55279 3.65059 4.35983 2.11732 2.66032 2.8 3.13387 3.64721 4.23933
Cre01.g004651 3.02101 3.29537 4.51433 4.67677 3.83831 2.93133 4.07963 4.13674 44.9503 17.1393 47.8847 41.4715 19.7289 19.6845 9.9276 11.8862
Cre01.g004750 0.169014 0.063881 0 0.0143587 0.037738 0 0.0950654 0.125356 5.71865 8.01866 5.7814 9.35756 2.56359 3.5223 2.01104 3.37302
Cre01.g004800 85.9411 52.5944 24.3497 18.0623 14.8609 12.5134 5.91089 5.23194 2.37435 1.9335 8.87181 9.35933 27.1849 26.6612 46.954 42.5182
Cre01.g004926 0.46979 0.460553 0 0.481961 0 0 0 0.344351 0.259442 0.290361 0.717733 0.857946 0.633861 1.02423 0.556982 1.39217
Cre01.g005001 25.1805 30.3716 20.2536 22.183 18.7767 18.2329 25.2322 21.967 19.1585 16.846 29.5968 24.9892 21.1737 17.3546 14.1576 14.0862
Cre01.g005100 6.25099 7.25439 2.98475 2.42373 3.03436 2.64889 4.38596 4.06379 6.85134 4.25191 11.2644 7.10493 5.20479 5.20062 3.05379 3.02847
Cre01.g005126 0 0 0 0 0 0 0 0.676955 0 0.175805 0 0.189848 0.428997 0 0.64195 0
Cre01.g005250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cre01.g005300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cre01.g005350 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cre01.g005450 2.78181 3.47199 18.9828 18.6205 17.5247 17.4051 17.5343 20.2343 138.615 85.2423 75.613 65.9539 37.8317 44.1741 34.0436 31.196
Cre01.g005500 0.696402 1.55308 5.09797 6.72318 10.5028 8.82934 14.5787 14.4743 15.2334 15.5571 14.7687 16.491 15.0288 16.7465 15.4045 16.354
Cre01.g005543 0 0.107824 0 0.0750225 0 0 0 0.322073 1.335 1.27438 0.335646 1.51441 0 0.239857 0 0.163087
Cre01.g005600 1.61469 2.23276 4.18685 4.90238 4.68317 4.53338 5.95427 4.35855 2.3582 2.54096 2.93887 3.25585 2.76308 2.84665 3.71696 4.20009
Cre01.g005850 46.634 95.0484 134.145 97.9706 97.0489 92.5339 72.6025 61.2094 8.01747 6.94572 11.6635 10.1418 9.10114 8.71889 7.78091 8.54035
Cre01.g005950 0.16909 1.1078 0.1094 0 0.0755088 0.400559 13.8676 8.27726 16.336 14.5319 21.1714 13.514 24.5766 16.1894 15.5211 13.4905
Cre01.g006050 3.10785 3.51691 6.3081 7.09896 6.84578 7.74452 7.91485 8.24826 9.92483 13.993 11.4992 10.8013 10.1931 10.7518 10.599 10.0869
Cre01.g006150 59.2308 61.3354 53.5213 50.2469 29.3332 32.0388 2.78366 3.97091 2.72081 1.99874 11.7321 11.4426 20.2611 18.174 22.8136 23.8655
Cre01.g006202 0 0.0221274 0 0.0149274 0 0 0.0277001 0 0 0.0196689 0 0 0 0 0.0214942 0
Cre01.g006450 0 0.199523 0 0.134405 0.160625 0.204475 0.15894 0.26681 0.0807056 0.0285391 0 0.0730262 0.0318396 0.0607189 0.0704799 0.193804
Cre01.g006576 0 0.013065 0 0.0175711 0.0231176 0 0.130811 0.0768056 0.0290501 0.0116787 0 0.0210129 0.068676 0.0145838 0 0
Cre01.g006600 0.117507 0.0593309 0.379519 0.0798438 0 0.16708 0 0.0436118 0.0329881 0 0.0908913 0.0477357 0.104039 0.0827796 0.201779 0.113241
Cre01.g006670 0 0.035228 0 0.0237272 0 0.0330898 0.0440947 0 0.156752 0.062803 0 0.0141828 0.0309249 0 0 0.0268873
Cre01.g006700 0 0.0906656 0.185917 0.109939 0.0642322 0.136276 0.136185 0 0.282419 0.0807913 0.166766 0.0730145 0.0318436 0.0404744 0.0528518 0
Cre01.g006850 11.827 11.4893 14.9953 14.8624 9.67959 9.88058 4.67932 4.12108 15.3402 10.2251 18.5735 22.2097 15.7555 17.2934 16.545 16.2832
Cre01.g006950 268.208 236.905 373.624 330.098 310.66 301.374 64.9418 104.754 38.2415 41.5699 69.7263 60.7419 93.2052 74.8613 110.468 101.01
Cre01.g007000 7.60741 5.82494 6.35704 4.80198 4.6294 2.70393 2.23696 2.57948 4.56461 4.42811 3.70228 4.16932 6.04027 6.72286 8.37687 7.98309
Cre01.g007050 29.8935 21.1989 36.0569 34.771 39.8598 35.8635 16.3794 20.2073 4.32634 3.92887 4.67938 6.19039 8.53235 7.87518 8.76632 9.37832
Cre01.g007051 1785.77 1727.35 1634.24 1560.57 1042.01 1217.53 752.914 882.496 1903.96 2289.28 2744 2148.26 1692.46 1627.51 1426.51 1412.36
Cre01.g007150 8.54177 4.93806 4.7677 5.64972 8.04033 6.90366 15.5595 16.522 8.76011 10.7365 4.72494 5.76594 5.08374 3.20265 4.71496 4.34718
Cre01.g007200 35.3001 30.3207 18.1069 16.949 18.0756 16.0532 12.9449 12.3163 11.0349 10.347 10.5329 12.0161 15.6008 15.4143 17.4334 15.4623
Cre01.g007450 0 0 0 0 0 0 0.0267031 0 0 0 0 0 0 0 0 0.0325495
Cre01.g007550 1.28796 1.25112 3.69206 3.98713 4.6414 3.70445 9.13649 8.45902 8.53709 9.79677 5.82914 6.05387 3.46613 3.85201 3.28571 2.68634
Cre01.g007651 6.47955 12.906 3.94578 3.69543 2.3779 3.14622 18.2506 16.0743 13.0026 19.3953 7.05058 7.62931 7.41425 10.4111 9.697 8.98093
Cre01.g007737 4.93061 3.50534 7.28561 8.34868 7.40626 7.30065 6.29934 5.96295 13.0041 9.53928 7.47216 9.20983 8.7733 7.23809 10.5311 7.03982
Cre01.g007901 160.269 64.6915 30.4009 24.8846 16.609 16.0947 15.8388 13.5935 13.8348 13.883 28.7638 18.3552 38.1303 29.5138 46.7531 40.9064
