Time	Mean	SD
ZT0	46.29	0.93
ZT4	53.51	0.92
ZT8	41.57	2.64
ZT12	32.17	0.00
ZT16	37.64	1.32
ZT20	37.66	2.75
ZT0	53.40	5.79
ZT4	53.87	3.82
ZT8	39.81	0.53
ZT12	39.98	5.12
ZT16	36.89	2.78
ZT20	39.55	1.45
ZT0	44.79	1.59
ZT4	41.83	0.39
ZT8	39.85	0.13
ZT12	35.74	0.92
ZT16	37.94	0.26
ZT20	53.42	0.27
ZT0	32.51	0.27
ZT4	30.73	0.00
ZT8	31.29	1.18
ZT12	30.83	0.53
ZT16	30.67	0.53
ZT20	27.71	0.39
ZT0	33.11	1.33
ZT4	33.68	0.66
ZT8	33.72	0.27
ZT12	29.85	0.13
ZT16	29.30	1.32
ZT20	29.12	0.79

